"EP Code:n","LOP A/C No:n","A/C Name","Reported BI Name","Reported TO Name","BI/Omni Code","BI Name","Mother BI/Omni Code","BI TO Code","BI TO Name"
"CFB","PHK15-YZ5LU","XXX","XXX","XXX","HED_1293","XXX","","BIT_1246","XXX"
"CFB","PHK15-YZ5PA","XXX","XXX","XXX","HED_1060","XXX","","BIT_0442","XXX"
"CFB","PHK15-YZ5QE","XXX","XXX","XXX","HED_0545","XXX","","BIT_0595","XXX"
"CFB","PHK15-YZ5QH","XXX","XXX","XXX","INS_1814","XXX","","BIT_0851","XXX"
"CFB","PHK15-YZ5UP","XXX","XXX","XXX","INS_1743","XXX","","","XXX"
"CFB","PHK15-YZ5WJ","XXX","XXX","XXX","OMN_0351","XXX","OMN_0009","BIT_0998","XXX"
"CFB","PHK15-YZ5WN","XXX","XXX","XXX","OMN_0379","XXX","","","XXX"
"CFB","PHK15-YZ5WS","XXX","XXX","XXX","HED_0963","XXX","OMN_0009","BIT_0442","XXX"
"CFB","PHK15-YZ5YZ","XXX","XXX","XXX","HED_1842","XXX","OMN_0009","BIT_1449","XXX"
"CFB","PHK15-YZ7AQ","XXX","XXX","XXX","HED_0545","XXX","","BIT_0255","XXX"
"CFB","PHK15-YZ7AR","XXX","XXX","XXX","HED_0545","XXX","","BIT_1437","XXX"
"CFB","PHK15-YZ7AV","XXX","XXX","XXX","HED_0545","XXX","","BIT_1039","XXX"
"CFB","PHK15-YZ7AY","XXX","XXX","XXX","HED_0545","XXX","","BIT_0487","XXX"
